All,બધા
"Send Invoice Comments Email Copy Method","ભરતિયું ટિપ્પણીઓ ઇમેઇલ નકલ પદ્ધતિ મોકલો"
Shipment,શિપમેન્ટ
"Shipment Email Sender","શિપમેન્ટ ઇમેઇલ પ્રેષક"
"Shipment Email Template","શિપમેન્ટ ઇમેઇલ ઢાંચો"
"Shipment Email Template for Guest","મહેમાન માટે શિપમેન્ટ ઇમેઇલ ઢાંચો"
"Send Shipment Email Copy To","મોકલેલ ઇમેઇલ કૉપિ મોકલો"
"Send Shipment Email Copy Method","મોકલેલ ઇમેઇલ નકલ પદ્ધતિ મોકલો"
"Shipment Comments","શિપમેન્ટ ટિપ્પણીઓ"
"Shipment Comment Email Sender","મોકલેલ ઇમેઇલ પ્રેષક"
"Shipment Comment Email Template","શિપમેન્ટ ટિપ્પણી ઇમેઇલ ઢાંચો"
"Shipment Comment Email Template for Guest","ગેસ્ટ માટે મોકલેલ ઇમેઇલ ઢાંચો"
"Send Shipment Comment Email Copy To","મોકલો મોકલો ઇમેઇલ કૉપિ કરો"
"Send Shipment Comments Email Copy Method","મોકલેલ ટિપ્પણીઓ ઇમેઇલ નકલ પદ્ધતિ મોકલો"
"Credit Memo Email Sender","ક્રેડિટ મેમો ઇમેઇલ પ્રેષક"
"Credit Memo Email Template","ક્રેડિટ મેમો ઇમેઇલ ઢાંચો"
"Credit Memo Email Template for Guest","મહેમાન માટે ક્રેડિટ મેમો ઇમેઇલ ઢાંચો"
"Send Credit Memo Email Copy To","ક્રેડિટ મેમો ઇમેઇલ કૉપિ મોકલો"
"Send Credit Memo Email Copy Method","ક્રેડિટ મેમો ઇમેઇલ કૉપિ પદ્ધતિ મોકલો"
"Credit Memo Comment Email Sender","ક્રેડિટ મેમો ઇમેઇલ પ્રેષક ટિપ્પણી"
"Credit Memo Comment Email Template","ક્રેડિટ મેમો ટિપ્પણી ઇમેઇલ ઢાંચો"
"Credit Memo Comment Email Template for Guest","મહેમાન માટે ક્રેડિટ મેમો ટિપ્પણી ઇમેઇલ ઢાંચો"
"Send Credit Memo Comment Email Copy To","ક્રેડિટ મેમો ટિપ્પણી ઇમેઇલ કૉપિ મોકલો"
"Send Credit Memo Comments Email Copy Method","ક્રેડિટ મેમો ટિપ્પણીઓ ઇમેઇલ નકલ પદ્ધતિ મોકલો"
"PDF Print-outs","પીડીએફ પ્રિન્ટ-આઉટ"
"Display Order ID in Header","હેડરમાં ઑર્ડર ID દર્શાવો"
"Customer Order Status Notification","ગ્રાહક ઓર્ડર સ્થિતિ સૂચન"
"Asynchronous indexing","અસુમેળ અનુક્રમણિકા"
"Orders and Returns Search Form","ઓર્ડર અને રીટર્ન શોધ ફોર્મ"
Template,ઢાંચો
"Default Template","મૂળભૂત ઢાંચો"
"ZIP/Post Code","ઝીપ / પોસ્ટ કોડ"
"Signed-up Point","સાઇન અપ પોઇન્ટ"
"Invoice Date","ભરતિયું તારીખ"
"Ship Date","શિપ તારીખ"
"Total Quantity","કુલ જથ્થો"
"Default Status","ડિફોલ્ટ સ્થિતિ"
"State Code and Title","રાજ્ય કોડ અને શીર્ષક"
"Item Status","આઇટમ સ્થિતિ"
"Original Price","મૂળ કિંમત"
"Tax Percent",કરવેરા
"PDF Credit Memos","પીડીએફ ક્રેડિટ મેમોસ"
"Print Invoices","પ્રિંટ ઇનવોઇસ"
"Print Packing Slips","પેકિંગ સ્લિપ છાપો"
"Print Credit Memos","ક્રેડિટ મેમો છાપો"
"Print All","બધા છાપો"
"Print Shipping Labels","શિપિંગ લેબલ્સ છાપો"
"Purchase Date","ખરીદ તારીખ"
"Grand Total (Base)","ગ્રાન્ડ ટોટલ (બેઝ)"
"Grand Total (Purchased)","ગ્રાન્ડ કુલ (ખરીદી)"
"Customer Email","ગ્રાહક ઇમેઇલ"
"Shipping and Handling","શિપિંગ અને હેન્ડલિંગ"
"PDF Invoices","પીડીએફ ઇનવોઇસ"
"PDF Shipments","પીડીએફ શિપમેન્ટ્સ"
"PDF Creditmemos","પીડીએફ ક્રેડિટમેનિઓ"
Refunds,રિફંડ્સ
Id,આઇડી
"Tax Rate Information","કર દરની માહિતી"
"Tax Identifier","કર ઓળખકર્તા"
"Zip/Post is Range","ઝિપ / પોસ્ટ રેંજ છે"
"Zip/Post Code","પિન / પોસ્ટ કોડ"
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","'*' - કોઈપણ સાથે મેળ ખાય છે; 'xyz *' - 'xyz' થી શરૂ થતી અને %1 કરતા વધુ લાંબી ન હોય તેવા કોઈપણ સાથે મેળ ખાય છે."
"Range From","પ્રતિ શ્રેણી"
"Range To",શ્રેણી
State,રાજ્ય
"Rate Percent","દર ટકા"
"Tax Titles","કર શિર્ષકો"
"Add New Tax Rate","નવો કર દર ઉમેરો"
"Delete Rate","દર કાઢી નાખો"
"Save Rate","દર બચાવો"
"Manage Tax Rules","કર નિયમોનું સંચાલન કરો"
"Add New Tax Rule","નવો કર નિયમ ઉમેરો"
"Save Rule","નિયમ સાચવો"
"Delete Rule","નિયમ કાઢી નાખો"
"Tax Rule Information","ટેક્સ નિયમની માહિતી"
"Customer Tax Class","ગ્રાહક કરનો વર્ગ"
"Product Tax Class","પ્રોડક્ટ ટેક્સનો વર્ગ"
"Tax Rate","કર દર"
Priority,પ્રાથમિકતા
"Tax rates at the same priority are added, others are compounded.","સમાન અગ્રતા પર કરવેરા દર ઉમેરવામાં આવે છે, અન્ય સંયુક્ત હોય છે."
"Calculate Off Subtotal Only","ફક્ત પેટાસરની ગણતરી કરો"
"Sort Order","ક્રમમાં ગોઠવો"
"Do you really want to delete this tax class?","શું તમે ખરેખર આ કર વર્ગને કાઢી નાખવા માંગો છો?"
"Add New Tax Class","નવો ટેક્સ વર્ગ ઉમેરો"
"Shipping Incl. Tax (%1)","શિપિંગ ઇન્ક. કર (%1)"
"Shipping Excl. Tax (%1)","શિપિંગ એક્સ્ક્લ. કર (%1)"
"Subtotal (Excl.Tax)","પેટાસરવાળો (એક્સ્ક્લે.ટેક્સ)"
"Subtotal (Incl.Tax)","પેટાસરવાળો (Incl.Tax)"
"Shipping & Handling (Excl.Tax)","શિપિંગ અને હેન્ડલિંગ (એક્સ્ક્લ.ટેક્સ)"
"Shipping & Handling (Incl.Tax)","શિપિંગ અને હેન્ડલિંગ (Incl.Tax)"
"Grand Total (Excl.Tax)","ગ્રાંડ ટોટલ (એક્સક્લ.ટેક્સ)"
"Grand Total (Incl.Tax)","ગ્રાંડ કુલ (Incl.Tax)"
"Manage Tax Rates","કર દરો મેનેજ કરો"
"New Tax Rate","નવો કર દર"
"Tax Zones and Rates","ટેક્સ ઝોન અને દરો"
"We can't delete this tax rate right now.","અમે હમણાંથી આ કર દર કાઢી શકતા નથી."
"An error occurred while loading this tax rate.","આ કર દર લોડ કરતી વખતે ભૂલ આવી."
"We can't save this rate right now.","અમે અત્યારે આ દર બચાવી શકીએ નહીં."
"You deleted the tax rate.","તમે કર દર કાઢી નાખ્યો."
"We can't delete this rate because of an incorrect rate ID.","ખોટા દર ID ને કારણે અમે આ દર કાઢી શકતા નથી."
"Something went wrong deleting this rate.","આ દર કાtingી નાખવામાં કંઈક ખોટું થયું."
"Edit Tax Rate","કર દર સંપાદિત કરો"
"You saved the tax rate.","તમે કર દર બચાવ્યો છે."
"Tax Rules","કર નિયમો"
"An error occurred while loading tax rates.","કર દર લોડ કરતી વખતે એક ભૂલ આવી."
"The tax rule has been deleted.","ટેક્સનો નિયમ કાઢી નાખવામાં આવ્યો છે."
"This rule no longer exists.","આ નિયમ હવે અસ્તિત્વમાં નથી."
"Something went wrong deleting this tax rule.","આ કર નિયમ કાtingી નાખતાં કંઈક ખોટું થયું."
"New Tax Rule","નવા કરવેરાનો નિયમ"
"Edit Rule","નિયમ સંપાદિત કરો"
"New Rule","નવો નિયમ"
"You saved the tax rule.","તમે કરનો નિયમ બચાવ્યો છે."
"We can't save this tax rule right now.","અમે હમણાંથી આ કર નિયમ બચાવી શકીએ નહીં."
"Invalid name of tax class specified.","કર વર્ગનું અમાન્ય નામ ઉલ્લેખિત."
"We can't delete this tax class right now.","અમે હમણાંથી આ કર વર્ગને કાઢી શકાતા નથી."
"We can't save this tax class right now.","અમે અત્યારે આ કર વર્ગ બચાવી શકીએ નહીં."
"Range To should be equal or greater than Range From.","રેંજ ટૂ બરાબર અથવા તેના કરતા વધારે હોવી જોઈએ."
"This class no longer exists.","આ વર્ગ હવે અસ્તિત્વમાં નથી."
"You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first.","તમે આ કર વર્ગને કાઢી શકતા નથી કારણ કે તેનો ઉપયોગ કર નિયમોમાં થાય છે. તમારે જે નિયમો પહેલા ઉપયોગમાં લેવાય છે તે કાઢી નાખવા પડશે."
"You cannot delete this tax class because it is used in existing %1(s).","તમે આ કર વર્ગને કાઢી શકતા નથી કારણ કે તેનો ઉપયોગ હાલના %1 (ઓ) માં થાય છે."
"Custom price if available","જો ઉપલબ્ધ હોય તો કસ્ટમ કિંમત"
"Original price only","મૂળ કિંમત જ"
"Shipping Origin","શીપીંગ મૂળ"
"No (price without tax)","ના (કર વગરનો ભાવ)"
"Yes (only price with tax)","હા (કર સાથેની માત્ર કિંમત)"
"Both (without and with tax)","બંને (કર વગર અને સાથે)"
"Invalid attribute %1","અમાન્ય લક્ષણ %1"
Code,કોડ
"Invalid type supplied","અમાન્ય પ્રકાર પૂરો પાડ્યો"
"Class name and class type","વર્ગ નામ અને વર્ગ પ્રકાર"
"No such entity with %fieldName = %fieldValue","%fieldName = %fieldValue સાથેની આવી કોઈ એન્ટિટી નથી"
"Grand Total (Excl. Tax)","ભવ્ય કુલ (એક્સ્ક્લે. ટેક્સ)"
"Grand Total (Incl. Tax)","ભવ્ય કુલ (સમાવેશ કર)"
"Shipping (Excl. Tax)","શિપિંગ (એક્સ્ક્લે. ટેક્સ)"
"Shipping (Incl. Tax)","શિપિંગ (ટેક્સ સહિત)"
"Subtotal (Excl. Tax)","પેટાસરવાળો (એક્સ્ક્લે. ટેક્સ)"
"Subtotal (Incl. Tax)","પેટાસરવાળો (કર સહિત)"
"Unit Price","એકમ ભાવ"
"Row Total","કુલ પંક્તિ"
"Before Discount","ડિસ્કાઉન્ટ પહેલાં"
"After Discount","ડિસ્કાઉન્ટ પછી"
"Excluding Tax","કર સિવાય"
"Including Tax","કર સહિત"
"Including and Excluding Tax","કર અને બાકાત સિવાય"
"To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”. ","ટેક્સ સહિતના ભાવો પર ડિસ્કાઉન્ટ લાગુ કરવા અને ડિસ્કાઉન્ટ પછી ટેક્સ લાગુ કરવા માટે, કેટલોગ કિંમતોને ""કર સહિત"" પર સેટ કરો. "
"Store(s) affected: ","સ્ટોર (ઓ) અસરગ્રસ્ત: "
"Click on the link to <a href=""%1"">ignore this notification</a>","<a href=""%1""> આ સૂચનાને અવગણો </a> ની લિંક પર ક્લિક કરો"
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations. ","ગ્રાહક કર લાગુ થતાં ""ડિસ્કાઉન્ટ પહેલાં"", અંતિમ ડિસ્કાઉન્ટ ગણતરી ગ્રાહકોની અપેક્ષાઓ સાથે મેળ ખાતી નથી. "
"Your current tax configuration may result in rounding errors. ","તમારી વર્તમાન ટેક્સ કન્ફિગરેશનના પરિણામે ગોળાકાર ભૂલો થઈ શકે છે. "
"Please see <a href=""%1"">documentation</a> for more details. ","કૃપા કરી વધુ વિગતો માટે <a href=""%1""> દસ્તાવેજીકરણ </a> જુઓ. "
"Click here to go to <a href=""%1"">Tax Configuration</a> and change your settings.","<a href=""%1""> કર કન્ફિગરેશન </a> પર જવા અને તમારી સેટિંગ્સ બદલવા અહીં ક્લિક કરો."
"Invalid type of tax class ""%1""","અમાન્ય પ્રકારનો કર વર્ગ ""%1"""
"Updating classType is not allowed.","વર્ગ પ્રકારને અપડેટ કરવાની મંજૂરી નથી."
"A class with the same name already exists for ClassType %1.","ક્લાસ ટાઇપ %1 માટે સમાન નામનો વર્ગ પહેલાથી અસ્તિત્વમાં છે."
"customer group","ગ્રાહક જૂથ"
product,ઉત્પાદન
"Excl. tax:","એક્સ્ક્લ. કર:"
"Incl. Tax","Incl. કર"
"Entity already exists","એન્ટિટી પહેલેથી જ અસ્તિત્વમાં છે"
"Cannot save titles","શીર્ષકો સાચવી શકતા નથી"
"Some Message","કેટલાક સંદેશ"
"Something went wrong","કંઈક ખોટું થયું"
"Could not save","સાચવી શક્યા નહીં"
"No such entity","આવી કોઈ એન્ટિટી નથી"
"Excl. Tax","એક્સ્ક્લ. કર"
Note:,નૉૅધ:
"Leave this field empty if you wish to use the tax identifier.","જો તમે કર ઓળખકર્તાનો ઉપયોગ કરવા માંગતા હોવ તો આ ક્ષેત્રને ખાલી છોડી દો."
"An error occurred","એક ભૂલ આવી"
"Do you really want to delete this tax rate?","શું તમે ખરેખર આ કર દર કાઢી નાખવા માંગો છો?"
"Add New Class","નવો વર્ગ ઉમેરો"
"Grand Total Excl. Tax","ગ્રાન્ડ કુલ એક્સ્ક્લ. કર"
"Grand Total Incl. Tax","ગ્રાન્ડ કુલ Incl. કર"
"Not yet calculated","હજી ગણતરી થઈ નથી"
Taxes,કર
"Tax Section","કર વિભાગ"
"Tax Classes","કર વર્ગો"
"Tax Class for Shipping","શિપિંગ માટે ટેક્સ વર્ગ"
"Default Tax Class for Product","પ્રોડક્ટ માટે ડિફોલ્ટ ટેક્સ વર્ગ"
"Default Tax Class for Customer","ગ્રાહક માટે ડિફોલ્ટ ટેક્સ વર્ગ"
"Calculation Settings","ગણતરી સેટિંગ્સ"
"Tax Calculation Method Based On","પર આધારિત કરની ગણતરીની પદ્ધતિ"
"Tax Calculation Based On","પર આધારિત કરની ગણતરી"
"Catalog Prices","કેટલોગ કિંમતો"
"This sets whether catalog prices entered from Magento Admin include tax.","આ સુયોજિત કરે છે કે મેજેન્ટો એડમિનમાંથી દાખલ કરેલ કેટલોગના ભાવોમાં કર શામેલ છે કે કેમ."
"Shipping Prices","શીપીંગ કિંમતો"
"This sets whether shipping amounts entered from Magento Admin or obtained from gateways include tax.","આ સુનિશ્ચિત કરે છે કે મેજેન્ટો એડમિનમાંથી દાખલ કરેલી અથવા ગેટવેથી મેળવેલ શિપિંગ રકમમાં કર શામેલ છે."
"Apply Customer Tax","ગ્રાહક કર લાગુ કરો"
"Apply Discount On Prices","કિંમતો પર ડિસ્કાઉન્ટ લાગુ કરો"
"Warning: To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”.","ચેતવણી: કર સહિતના ભાવો પર ડિસ્કાઉન્ટ લાગુ કરવા અને ડિસ્કાઉન્ટ પછી ટેક્સ લાગુ કરવા માટે, કેટલોગ કિંમતોને ""કર સહિત"" પર સેટ કરો."
"Apply Tax On","પર ટેક્સ લાગુ કરો"
"Enable Cross Border Trade","ક્રોસ બોર્ડર ટ્રેડને સક્ષમ કરો"
"When catalog price includes tax, enable this setting to fix the price no matter what the customer's tax rate.","જ્યારે કેટલોગના ભાવમાં કર શામેલ હોય, ત્યારે ગ્રાહકના ટેક્સના દર ગમે તે હોય તે કિંમત નક્કી કરવા માટે આ સેટિંગને સક્ષમ કરો."
"Default Tax Destination Calculation","ડિફોલ્ટ ટેક્સ ડેસ્ટિનેશન ગણતરી"
"Default Country","ડિફaultલ્ટ દેશ"
"Default State","ડિફaultલ્ટ રાજ્ય"
"Default Post Code","ડિફaultલ્ટ પોસ્ટ કોડ"
"Price Display Settings","ભાવ પ્રદર્શન સેટિંગ્સ"
"Display Product Prices In Catalog","કેટલોગમાં ઉત્પાદન કિંમતો દર્શાવો"
"Display Shipping Prices","શીપીંગ કિંમતો દર્શાવો"
"Shopping Cart Display Settings","શોપિંગ કાર્ટ ડિસ્પ્લે સેટિંગ્સ"
"Display Prices","કિંમતો દર્શાવો"
"Display Subtotal","પેટાસરવાળો દર્શાવો"
"Display Shipping Amount","શિપિંગની રકમ દર્શાવો"
"Include Tax In Order Total","ઓર્ડરમાં કુલ ટેક્સ શામેલ કરો"
"Display Full Tax Summary","સંપૂર્ણ કરનો સારાંશ દર્શાવો"
"Display Zero Tax Subtotal","ઝીરો ટેક્સ સબટોટલ દર્શાવો"
"Orders, Invoices, Credit Memos Display Settings","ઓર્ડર્સ, ઇન્વicesઇસેસ, ક્રેડિટ મેમોઝ ડિસ્પ્લે સેટિંગ્સ"
State/Region,"રાજ્ય / ક્ષેત્ર"
Rate,દર
"Subtotal Only","માત્ર પેટાસરવાળો"
"(Excl. Tax)","(એક્સ્ક્લે. ટેક્સ)"
"(Incl. Tax)","(કર સહિત)"
"Order Total Excl. Tax","ઓર્ડર કુલ એક્સ્ક્લ. કર"
"Order Total Incl. Tax","ઓર્ડર કુલ Incl. કર"
"Order Total","કુલ ઓર્ડર"
"You will be charged for","તમારા માટે શુલ્ક લેવામાં આવશે"
"Save and Continue","સાચવો અને ચાલુ રાખો"
"Save Configuration","રૂપરેખાંકન સાચવો"
Default,ડિફૉલ્ટ
Themes,થીમ્સ
"Are you sure you want to delete this theme?","શું તમે ખરેખર આ થીમને કાઢી નાખવા માંગો છો?"
"Theme: %1",થીમ:%1
"Theme CSS","થીમ સીએસએસ"
"Theme CSS Assets","થીમ સીએસએસ એસેટ્સ"
"Custom CSS","કસ્ટમ CSS"
"Select CSS File to Upload","અપલોડ કરવા માટે સીએસએસ ફાઇલ પસંદ કરો"
"Upload CSS File","અપલોડ કરો સીએસએસ ફાઇલ"
"Download CSS File","સીએસએસ ફાઇલ ડાઉનલોડ કરો"
Manage,"મેનેજ કરો"
"Upload Images","છબીઓ અપલોડ કરો"
"Images Assets","છબીઓ અસ્કયામતો"
"Upload Fonts","ફોન્ટ અપલોડ કરો"
"Fonts Assets","ફોન્ટ અસ્કયામતો"
"Edit custom.css","વૈવિધ્યપૂર્ણ.css સંપાદિત કરો"
"Allowed file types *.css.","મંજૂર ફાઇલ પ્રકાર *. CSS."
"This file will replace the current custom.css file and can't be more than 2 MB.","આ ફાઇલ વર્તમાન custom.css ફાઇલને બદલશે અને 2 MB કરતાં વધુ હોઈ શકશે નહીં."
"Max file size to upload %1M","મહત્તમ ફાઇલ કદ%1M અપલોડ કરવા"
"Something is wrong with the file upload settings.","ફાઇલ અપલોડ સેટિંગ્સમાં કંઈક ખોટું છે."
"CSS Editor","સીએસએસ સંપાદક"
"Theme Settings","થીમ સેટિંગ્સ"
"Parent Theme","પિતૃ થીમ"
"Theme Path","થીમ પાથ"
"Theme Title","થીમ શીર્ષક"
"Theme Preview Image","થીમ પૂર્વદર્શન છબી"
"Copy of %1","%1 ની કૉપિ"
"Max image size %1M","મહત્તમ છબી કદ%1M"
"Theme JavaScript","થીમ જાવાસ્ક્રિપ્ટ"
"Select JS Files to Upload","અપલોડ કરવા માટે જેએસ ફાઇલો પસંદ કરો"
"Upload JS Files","જેએસ ફાઇલો અપલોડ કરો"
"JS Editor","જેએસ એડિટર"
"Allowed file types *.js.","મંજૂર ફાઇલ પ્રકાર * .js."
"Create Folder","ફોલ્ડર બનાવો"
"Insert File","ફાઇલ શામેલ કરો"
"Storage Root","સંગ્રહ રુટ"
welcome,"સ્વાગત છે"
"Design Configuration","ડિઝાઇન રૂપરેખાંકન"
"Something went wrong while saving this configuration:","આ ગોઠવણી સાચવતી વખતે કંઈક ખોટું થયું:"
"You deleted the theme.","તમે થીમ કાઢી નાખી."
"We cannot delete the theme.","અમે થીમ કાઢી નાખી શકતા નથી."
"File not found: ""%1"".","ફાઇલ મળી નથી: ""%1""."
"We can't find file.","અમે ફાઇલ શોધી શકતા નથી."
"We cannot find theme ""%1"".","અમે થીમ ""%1"" શોધી શકતા નથી."
"We cannot find the theme.","અમે થીમ શોધી શકતા નથી."
"This theme is not editable.","આ થીમ સંપાદનયોગ્ય નથી."
"You saved the theme.","તમે થીમ સાચવી."
"We can't upload the CSS file right now.","અમે હમણાં જ સીએસએસ ફાઇલ અપલોડ કરી શકતા નથી."
"We cannot find a theme with id ""%1"".","અમે id ""%1"" સાથે કોઈ થીમ શોધી શકતા નથી."
"We can't upload the JS file right now.","અમે હાલમાં જેએસ ફાઇલ અપલોડ કરી શકતા નથી."
"Sorry, something went wrong. That's all we know.","માફ કરશો, કંઈક ખોટું થયું હતું. આ બધું આપણે જાણીએ છીએ."
"Invalid type","અમાન્ય પ્રકાર"
"%1 does not contain field '%2'","%1 માં '%2' ફીલ્ડ શામેલ નથી"
"Invalid regular expression: ""%1"".","અમાન્ય નિયમિત અભિવ્યક્તિ: ""%1""."
"%1 does not contain field 'file'","%1 માં 'ફાઈલ' શામેલ નથી"
"The start date can't follow the end date.","પ્રારંભ તારીખ સમાપ્તિ તારીખને અનુસરતી નથી."
"The date range for this design change overlaps another design change for the specified store.","આ ડિઝાઇન માટેની તારીખ શ્રેણી બદલાયેલ સ્ટોર માટેના અન્ય ડિઝાઇન ફેરફારોને ઓવરલેપ કરે છે."
Copy,"કૉપિ કરો"
"Theme id should be set","થીમ આઈડી સેટ થવી જોઈએ"
"Circular-reference in theme inheritance detected for ""%1""","""%1"" માટે થીમ વારસોમાં પરિપત્ર સંદર્ભ"
"The CSS file must be less than %1M.","CSS ફાઇલ%1M કરતા ઓછી હોવી આવશ્યક છે."
"The JS file must be less than %1M.","જેએસ ફાઇલ%1 એમ કરતા ઓછી હોવી આવશ્યક છે."
"We can't upload the file right now.","અમે અત્યારે ફાઇલ અપલોડ કરી શકતા નથી."
"Use only standard alphanumeric, dashes and underscores.","ફક્ત માનક આલ્ફાન્યુમેરિક, ડૅશ અને અંડરસ્કોર્સનો ઉપયોગ કરો."
"We found a directory with the same name.","અમને સમાન નામવાળી ડિરેક્ટરી મળી."
"We cannot find a directory with this name.","અમે આ નામ સાથે ડિરેક્ટરી શોધી શકતા નથી."
"We can't delete root directory %1 right now.","અમે અત્યારે રૂટ ડાયરેક્ટરી%1 ને કાઢી શકતા નથી."
"Theme isn't deletable.","થીમ કાઢી નાખવા યોગ્ય નથી."
"localized exception","સ્થાનિક અપવાદ"
"Test Label","ટેસ્ટ લેબલ"
Phrase,શબ્દસમૂહ
testMessage,ટેસ્ટમેસેજ
"We found no files.","અમને કોઈ ફાઇલો મળી નથી."
"Browse Files","ફાઇલો બ્રાઉઝ કરો"
Scope:,અવકાશ
"Help Us Keep Magento Healthy","અમને Magento સ્વસ્થ રાખો સહાય કરો"
"Report All Bugs","બધી બગ્સની જાણ કરો"
"Welcome, %1!","સ્વાગત છે,%1!"
"Toggle Nav","એનએવી ટૉગલ કરો"
"JavaScript seems to be disabled in your browser.","જાવાસ્ક્રિપ્ટ તમારા બ્રાઉઝરમાં અક્ષમ હોવાનું જણાય છે."
"For the best experience on our site, be sure to turn on Javascript in your browser.","અમારી સાઇટ પરના શ્રેષ્ઠ અનુભવ માટે, તમારા બ્રાઉઝરમાં જાવાસ્ક્રિપ્ટ ચાલુ કરવાની ખાતરી કરો."
"Local Storage seems to be disabled in your browser.","સ્થાનિક સ્ટોરેજ તમારા બ્રાઉઝરમાં અક્ષમ હોવાનું જણાય છે."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","અમારી સાઇટ પરના શ્રેષ્ઠ અનુભવ માટે, તમારા બ્રાઉઝરમાં સ્થાનિક સ્ટોરેજ ચાલુ કરવાનું સુનિશ્ચિત કરો."
"This is a demo store. No orders will be fulfilled.","આ એક ડેમો સ્ટોર છે. કોઈ ઓર્ડર પૂરા થશે નહીં."
"Items %1 to %2 of %3 total","કુલ %3 માંથી %1 થી %2 વસ્તુઓ"
"%1 Item(s)","%1 વસ્તુ (ઓ)"
Page,પૃષ્ઠ
Previous,અગાઉના
"You're currently reading page","તમે હાલમાં પૃષ્ઠ વાંચી રહ્યા છો"
"About the calendar","કૅલેન્ડર વિશે"
"Go Today","આજે જાઓ"
WK,ડબલ્યુકે
Hour,કલાક
Minute,મિનિટ
"Welcome to %store_name.","%Store_name માં આપનું સ્વાગત છે."
"We could not detect a size.","અમે કદ શોધી શક્યા નથી."
"We don't recognize this file extension.","અમે આ ફાઇલ એક્સ્ટેંશનને ઓળખતા નથી."
"1 column","1 કૉલમ"
"Default welcome msg!","મૂળભૂત સ્વાગત સંદેશ!"
"Copyright © 2013-present Magento, Inc. All rights reserved.","કૉપિરાઇટ © 2013-વર્તમાન Magento, Inc. બધા અધિકારો અનામત."
"Design Config Grid","ડિઝાઇન રૂપરેખા ગ્રીડ"
"Rebuild design config grid index","ડિઝાઇન રૂપરેખા ગ્રીડ અનુક્રમણિકા ફરીથી બનાવો"
"Admin empty","એડમિન ખાલી"
"Admin 1column","એડમિન 1column"
"Theme Information","થીમ માહિતી"
"Other Settings","અન્ય સેટિંગ્સ"
"HTML Head","એચટીએમએલ હેડ"
"Favicon Icon","ફેવિકોન આયકન"
"Default Page Title","મૂળભૂત પૃષ્ઠ શીર્ષક"
"Page Title Prefix","પૃષ્ઠ શીર્ષક ઉપસર્ગ"
"Page Title Suffix","પૃષ્ઠ શીર્ષક ઉપસર્ગ"
"Default Meta Description","ડિફૉલ્ટ મેટા વર્ણન"
"Default Meta Keywords","ડિફોલ્ટ મેટા કીવર્ડ્સ"
"This will be included before head closing tag in page HTML.","આ પૃષ્ઠ HTML માં હેડ ક્લોઝિંગ ટૅગ પહેલાં શામેલ કરવામાં આવશે."
"Scripts and Style Sheets","સ્ક્રિપ્ટો અને સ્ટાઇલ શીટ્સ"
"Display Demo Store Notice","પ્રદર્શન ડેમો નોટિસ"
Header,હેડર
"Logo Image","લોગો છબી"
"Logo Attribute Width","લોગો એટ્રીબ્યુટ પહોળાઈ"
"Logo Attribute Height","લોગો લક્ષણ ઊંચાઈ"
"Welcome Text","સ્વાગત ટેક્સ્ટ"
"Logo Image Alt","લોગો છબી Alt"
Footer,ફૂટર
"This will be displayed just before the body closing tag.","આ શરીરને બંધ કરવાના ટેગ કરતા પહેલા જ પ્રદર્શિત કરવામાં આવશે."
"Miscellaneous HTML","વિવિધ એચટીએમએલ"
Copyright,કૉપિરાઇટ
"Display Report Bugs Link","ડિસ્પ્લે રિપોર્ટ બગ્સ લિંક"
"Default Robots","ડિફૉલ્ટ રોબોટ્સ"
"Edit custom instruction of robots.txt File","Robots.txt ફાઇલના કસ્ટમ સૂચનાને સંપાદિત કરો"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","આ ક્રિયા તમારી કસ્ટમ સૂચનાઓ કાઢી નાખશે અને robots.txt ફાઇલને સિસ્ટમની ડિફોલ્ટ સેટિંગ્સ પર ફરીથી સેટ કરશે."
"Reset To Defaults","ડિફોલ્ટ્સ પર ફરીથી સેટ કરો"
"Skip to Content","સામગ્રી પર જાઓ"
Menu,મેનુ
Account,ખાતું
Settings,સેટિંગ્સ
"2 columns with left bar","ડાબી બાર સાથે 2 સ્તંભો"
"2 columns with right bar","જમણી બાર સાથે 2 કૉલમ"
"3 columns","3 કૉલમ"
"Delete Role","ભૂમિકા કાઢી નાખો"
"Save Role","ભૂમિકા સાચવો"
Roles,ભૂમિકાઓ
"Add New Role","નવી ભૂમિકા ઉમેરો"
"Role Information","ભૂમિકાની માહિતી"
"Role Users","ભૂમિકા વપરાશકર્તાઓ"
"User ID","વપરાશકર્તા ID"
"User Name","વપરાશકર્તા નામ"
Active,સક્રિય
Inactive,નિષ્ક્રિય
"Role Resources","ભૂમિકા સંસાધનો"
"Role Info","ભૂમિકાની માહિતી"
"Role Name","ભૂમિકા નામ"
"Current User Identity Verification","વર્તમાન વપરાશકર્તા ઓળખ ચકાસણી"
"Your Password","તમારો ખાનગી શબ્દ"
"Add New User","નવો વપરાશકર્તા ઉમેરો"
Users,વપરાશકર્તાઓ
